t,theta_num,theta_small,error
4.350877192982455455e+00,4.801757735988973486e-01,4.911103623217257796e-01,-1.093458872282843108e-02
4.370927318295739106e+00,4.838297933966189124e-01,4.935524966803681024e-01,-9.722703283749190017e-03
4.390977443609022757e+00,4.871169350997516800e-01,4.956053726389838543e-01,-8.488437539232174256e-03
4.411027568922305520e+00,4.900349056133008196e-01,4.972673711211496039e-01,-7.232465507848784281e-03
4.431077694235588282e+00,4.925816727136739237e-01,4.985371813303962063e-01,-5.955508616722282600e-03
4.451127819548871933e+00,4.947554652829155852e-01,4.994138017840167310e-01,-4.658336501101145721e-03
4.471177944862155584e+00,4.965547734957462267e-01,4.998965411029228090e-01,-3.341767607176582278e-03
4.491228070175438347e+00,4.979783489658235474e-01,4.999850185569262861e-01,-2.006669591102738792e-03
4.511278195488721110e+00,4.990252048570383292e-01,4.996791643650163040e-01,-6.539595079779747522e-04
4.531328320802004761e+00,4.996946159656651121e-01,4.989792197503942761e-01,7.153962152708359667e-04
4.551378446115288412e+00,4.999861187774601312e-01,4.978857367502247389e-01,2.100382027235392357e-03
4.571428571428571175e+00,4.998995115026897418e-01,4.963995777802507892e-01,3.499933722438952621e-03
4.591478696741853938e+00,4.994348540909249734e-01,4.945219149546175585e-01,4.912939136307414856e-03
4.611528822055137589e+00,4.985924682267425800e-01,4.922542291614417365e-01,6.338239065300843578e-03
4.631578947368421240e+00,4.973729373058329850e-01,4.895983088948544504e-01,7.774628410978534632e-03
4.651629072681704002e+00,4.957771063901073583e-01,4.865562488444387657e-01,9.220857545668592614e-03
4.671679197994986765e+00,4.938060821395251487e-01,4.831304482431760805e-01,1.067563389634906823e-02
4.691729323308270416e+00,4.914612327170394535e-01,4.793236089752016538e-01,1.213762374183779968e-02
4.711779448621554067e+00,4.887441876620590708e-01,4.751387334448649025e-01,1.360545421719416836e-02
4.731829573934836830e+00,4.856568377267860281e-01,4.705791222087720160e-01,1.507771551801401211e-02
4.751879699248119593e+00,4.822013346687477608e-01,4.656483713726792262e-01,1.655296329606853467e-02
4.771929824561403244e+00,4.783800909917941824e-01,4.603503697552921436e-01,1.802972123650203873e-02
4.791979949874686895e+00,4.741957796267715630e-01,4.546892958212055413e-01,1.950648380556602168e-02
4.812030075187969658e+00,4.696513335438752268e-01,4.486696143854026486e-01,2.098171915847257818e-02
4.832080200501252421e+00,4.647499452860986979e-01,4.422960730919129890e-01,2.245387219418570890e-02
4.852130325814536072e+00,4.594950664108576888e-01,4.355736986694089263e-01,2.392136774144876243e-02
4.872180451127819723e+00,4.538904068293550531e-01,4.285077929666905594e-01,2.538261386266449371e-02
4.892230576441102485e+00,4.479399340294396015e-01,4.211039287711856316e-01,2.683600525825396987e-02
4.912280701754385248e+00,4.416478721756620929e-01,4.133679454137663689e-01,2.827992676189572396e-02
4.932330827067668899e+00,4.350187010735715454e-01,4.053059441633438120e-01,2.971275691022773335e-02
4.952380952380952550e+00,4.280571549706410073e-01,3.969242834148791199e-01,3.113287155576188736e-02
4.972431077694235313e+00,4.207682211873408629e-01,3.882295736745995929e-01,3.253864751274126998e-02
4.992481203007518076e+00,4.131571385722962453e-01,3.792286723463775266e-01,3.392846622591871864e-02
5.012531328320801727e+00,4.052293957794514401e-01,3.699286783233867171e-01,3.530071745606472300e-02
5.032581453634085378e+00,3.969907293097427736e-01,3.603369263892989838e-01,3.665380292044378985e-02
5.052631578947368141e+00,3.884471213241030285e-01,3.504609814334357365e-01,3.798613989066729202e-02
5.072681704260650903e+00,3.796047972484266619e-01,3.403086324844365462e-01,3.929616476399011571e-02
5.092731829573934554e+00,3.704702231317997807e-01,3.298878865671568406e-01,4.058233656464294015e-02
5.112781954887218205e+00,3.610501027058181656e-01,3.192069623876319651e-01,4.184314031818620050e-02
5.132832080200500968e+00,3.513513741725219908e-01,3.082742838510891259e-01,4.307709032143286487e-02
5.152882205513783731e+00,3.413812067704569131e-01,2.970984734181257303e-01,4.428273335233118280e-02
5.172932330827067382e+00,3.311469969847535277e-01,2.856883453042848853e-01,4.545865168046864246e-02
5.192982456140351033e+00,3.206563644373597310e-01,2.740528985284023111e-01,4.660346590895741992e-02
5.213032581453633796e+00,3.099171475154752775e-01,2.622013098151960708e-01,4.771583770027920668e-02
5.233082706766916559e+00,2.989373986807895567e-01,2.501429263577022444e-01,4.879447232308731230e-02
5.253132832080200210e+00,2.877253794006806031e-01,2.378872584452674244e-01,4.983812095541317877e-02
5.273182957393483861e+00,2.762895547552045583e-01,2.254439719629096339e-01,5.084558279229492439e-02
5.293233082706766623e+00,2.646385877781647356e-01,2.128228807679594103e-01,5.181570701020532521e-02
5.313283208020049386e+00,2.527813333997777079e-01,2.000339389499971310e-01,5.274739444978057690e-02
5.333333333333333037e+00,2.407268320487549462e-01,1.870872329801956668e-01,5.363959906855927939e-02
5.353383458646616688e+00,2.284843029301319717e-01,1.739929737562522782e-01,5.449132917387969344e-02
5.373433583959899451e+00,2.160631370121635919e-01,1.607614885491850110e-01,5.530164846297858094e-02
5.393483709273182214e+00,2.034728896333626857e-01,1.474032128583510903e-01,5.606967677501159542e-02
5.413533834586465865e+00,1.907232727990327281e-01,1.339286821811026817e-01,5.679459061793004637e-02
5.433583959899749516e+00,1.778241471623491221e-01,1.203485237035814837e-01,5.747562345876763845e-02
5.453634085213032279e+00,1.647855137233588396e-01,1.066734479191941004e-01,5.811206580416473921e-02
5.473684210526315042e+00,1.516175052213739050e-01,9.291424018138408347e-02,5.870326503998982148e-02
5.493734335839598693e+00,1.383303772407334098e-01,7.908175219736646167e-02,5.924862504336694813e-02
5.513784461152882344e+00,1.249344990560833230e-01,6.518689346952991071e-02,5.974760558655341225e-02
5.533834586466165106e+00,1.114403442280690049e-01,5.124062269125317232e-02,6.019972153681583255e-02
5.553884711779447869e+00,9.785848096895022330e-02,3.725393910392464647e-02,6.060454186502557683e-02
5.573934837092731520e+00,8.419956229519244550e-02,2.323787382198807747e-02,6.096168847320436457e-02
5.593984962406015171e+00,7.047431598616692161e-02,9.203481132846424301e-03,6.127083485332049384e-02
5.614035087719297934e+00,5.669353436986457329e-02,-4.838170221512286956e-03,6.153170459137685677e-02
5.634085213032580697e+00,4.286806395805192044e-02,-1.887600577428480766e-02,6.174406973233673157e-02
5.654135338345864348e+00,2.900879495659611923e-02,-3.289895406814247886e-02,6.190774902473859809e-02
